ID UNIV OP
1 1 0
2 1 0
3 1 0
4 1 1
5 1 1
6 1 0
7 1 1
8 1 0
9 1 1
10 1 0
11 1 1
12 1 0
13 1 1
14 1 1
15 1 0
16 1 0
17 1 0
18 1 0
19 1 0
20 1 0
21 1 0
22 1 0
23 1 0
24 1 0
25 1 0
26 1 1
27 1 1
28 1 0
29 1 0
30 1 1
31 1 1
32 1 0
33 1 0
34 1 0
35 1 0
36 1 1
37 1 1
38 1 0
39 1 0
40 1 1
41 1 1
42 1 1
43 1 0
44 1 0
45 1 0
46 1 1
47 1 0
48 1 0
49 1 0
50 1 0
51 1 1
52 1 0
53 1 0
54 1 1
55 1 1
56 1 0
57 1 1
58 1 0
59 1 0
60 1 1
61 1 0
62 1 1
63 1 0
64 1 0
65 1 0
66 1 0
67 1 0
68 1 0
69 1 0
70 1 0
71 1 0
72 1 0
73 1 0
74 1 0
75 1 0
76 1 0
77 1 0
78 1 0
79 1 0
80 1 0
81 1 0
82 1 1
83 1 0
84 1 0
85 1 0
86 1 0
87 1 1
88 1 1
89 1 0
90 1 0
91 1 0
92 1 0
93 1 0
94 1 1
95 1 0
96 1 0
97 1 1
98 1 0
99 1 0
100 1 1
101 2 0
102 2 0
103 2 0
104 2 0
105 2 0
106 2 0
107 2 1
108 2 0
109 2 1
110 2 0
111 2 1
112 2 0
113 2 0
114 2 1
115 2 1
116 2 0
117 2 1
118 2 0
119 2 0
120 2 0
121 2 0
122 2 0
123 2 0
124 2 0
125 2 0
126 2 1
127 2 1
128 2 0
129 2 0
130 2 1
131 2 0
132 2 1
133 2 0
134 2 0
135 2 1
136 2 0
137 2 1
138 2 0
139 2 0
140 2 1
141 2 0
142 2 0
143 2 0
144 2 1
145 2 0
146 2 0
147 2 0
148 2 0
149 2 0
150 2 1
151 2 1
152 2 0
153 2 0
154 2 0
155 2 0
156 2 1
157 2 1
158 2 1
159 2 1
160 2 0
161 2 0
162 2 0
163 2 1
164 2 0
165 2 1
166 2 1
167 2 1
168 2 0
169 2 0
170 2 0
171 2 1
172 2 1
173 2 0
174 2 1
175 2 0
176 2 1
177 2 1
178 2 0
179 2 0
180 2 1
181 2 0
182 2 0
183 2 1
184 2 1
185 2 1
186 2 0
187 2 0
188 2 0
189 2 0
190 2 0
191 2 1
192 2 0
193 2 1
194 2 1
195 2 0
196 2 0
197 2 0
198 2 0
199 2 1
200 2 1
