EP6370,EP6370S1,EP6390,EP6390S1,EP654,EP6870,EP6430,EP6430S1,EP6440,EP6450,EP6460,EP6460S1,EP5537,EP5537S1,EP6422,EP655,EP655S1,EP656,EP656S1,EP657S1,EP657S2,EP657S3,EP657S4,EP657S5,EP657S6,EP657S7,EP657S8,EP657S9,EP657S10,EP657S11,EP657S12,EP657S13,EP657S14,EP657S15,EP657S16,EP657S17,EP657S17A1,EP6500,EP658,EP659,EP660S1,EP660S1A1,EP660S2,EP660S2A1,EP660S3,EP660S3A1,EP660S4,EP661,EP661S1,EP662,EP662S1,EP663,EP663S1,EP6750,EP733,EP664,EP664S1,EP665,EP665S1,EP666,EP7090,EP7100,EP667,EP668,EP7130,EP7140S1,EP7140S2,EP7140S3,EP7140S4,EP7140S5,EP7140S6,EP7140S7,EP7140S8,EP7140S9,EP7140S9A1,EP7150,EP670,EP671,EP672,EP673,EP734,EP677,EP678,EP678S1,EP679,EP680,EP680S1,EP681,EP681S1,EP682,EP683,EP683S1,EP7020,EP760,EP685,EP686,EP687,EP688,EP688S1,EP689,EP689S1,EP690,EP690S1,DIRECTORIO_GEIH,HOGAR_GEIH,ORDEN_PERSONA_GEIH,FEX_C
D,86,A,9213,1,1,4,,NA,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,2,NA,2,NA,2,NA,1,1,,3,,3,,400000,1,6,,NA,,1,1,8,2,1,1,1,1,2,1,2,2,2,2,2,,2,2,2,1,2,NA,3,NA,,NA,NA,,1,,3,NA,,2,NA,0,0,1,1,,1,200000,4,,3202792,1,3,172.7651699
V,45,V,5237,1,2,1,,1,2,1,NA,NA,,1,3,,NA,,2,2,2,1,2,1,1,1,1,1,2,2,2,2,1,2,2,,589500,48,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,3,2,NA,NA,1,1,1,1,1,1,2,1,1,1,2,,1,1,2,1,2,NA,3,NA,,NA,NA,,1,,3,NA,,1,0,0,0,1,2,,2,NA,3,,3202803,1,3,189.6621412
D,16,D,7430,3,1,4,,NA,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,2,NA,2,NA,2,NA,1,1,,2,,2,,250000,1,2,,NA,,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,1,1,2,3,NA,,NA,NA,,1,,3,NA,,1,0,1,1,2,NA,,1,100000,3,,3202809,1,2,179.0037346
O,38,S,7499,1,9,1,,1,2,1,NA,NA,,2,NA,,1,,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,,800000,36,2,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,2,NA,NA,2,1,2,1,1,1,2,1,1,2,2,,2,1,2,2,1,4,3,NA,,NA,NA,,1,,3,NA,,1,0,1,1,2,NA,,1,400000,1,,3202810,1,1,277.8320538
D,13,A,8060,1,2,1,,1,1,1,NA,NA,,1,4,,NA,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,240000,20,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,1,5,3,2,1,1,1,2,1,2,1,1,2,2,,1,2,3,1,1,5,1,NA,,NA,NA,,2,,3,NA,,2,NA,10,3,1,1,,1,100000,4,,3202817,1,3,165.4707128
O,21,V,6421,1,9,1,,1,2,1,NA,NA,,1,1,,NA,,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,,600000,51,2,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,2,NA,2,7,,1,6,,2,,2,2,,1,7,10,0,1,2,,1,590000,4,,3202818,1,1,112.7569014
O,79,C,1810,1,9,1,,1,2,1,NA,NA,,1,1,,NA,,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,,586700,48,2,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,2,2,NA,3,NA,,NA,NA,,1,,3,NA,,1,24,6,0,2,NA,,1,580000,2,,3202818,1,2,112.7569014
P,19,E,8060,1,9,4,,NA,NA,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,2,NA,2,NA,2,NA,1,3,,1,,1,,1000000,1,1,,NA,,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,2,NA,3,NA,,NA,NA,,1,,3,NA,,1,0,0,0,2,NA,,1,800000,1,,3202908,1,4,1042.188907
I,83,E,2811,1,5,1,,1,1,1,NA,NA,,1,1,,NA,,1,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,,250000,40,1,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,2,2,2,NA,3,NA,,NA,NA,,1,,3,NA,,2,NA,1,1,2,NA,,2,NA,2,,3202912,1,3,179.5863135
S,2,C,4530,1,6,1,,1,2,2,4,7,,1,1,,NA,,1,2,2,1,1,2,2,1,2,1,2,1,2,2,2,2,2,,2000000,44,2,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,NA,,NA,NA,NA,,NA,,1,1,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,3,1,1,1,3,NA,,NA,NA,,1,,3,NA,,1,4,4,2,1,1,,1,600000,7,,3202920,1,2,174.0176748
