Company,Dividend,P/E Ratio
Albertsons,Yes,14
BRE Prop,Yes,18
CityNtl,Yes,16
DelMonte,No,21
EnrgzHldg,No,20
Ford Motor,Yes,22
Gildan A,No,12
HudsnUtdBcp,Yes,13
IBM,Yes,22
JeffPilot,Yes,16
KingswayFin,No,6
Libbey,Yes,13
MasoniteIntl,No,15
Motorola,Yes,68
NtlCity,Yes,10
NY Times A,Yes,25
Omnicare,Yes,25
PallCp,Yes,23
PubSvcEnt,Yes,11
SensientTch,Yes,11
SmtProp,Yes,12
TJX Cos,Yes,21
Thomson,Yes,30
USB Hldg,Yes,12
US Restr,Yes,26
Varian Med,No,41
Visx,No,72
Waste Mgt,No,23
Wiley A,Yes,21
Yum Brands,No,18
