"CODINST","NOMBREINSTITUCION","CODIGOMUNICIPIO","NOMBREMUNICIPIO","DEPARTAMENTO","CALENDARIO","NATURALEZA","JORNADA","EVALUADOS","PROMLECTURACRITICA","PROMMATEMATICA","PROMSOCIALESYCIUDADANAS","PROMCIENCIASNATURALES","PROMINGLES","PROMRAZONAMIENTOCUANTITA","PROMCOMPETENCIASCIUDADAN"
146688,"INST DE FORMACION PARA JOVENES Y ADULTOS DEL PATIA IFAP - SEDE PRINCIPAL",19532,"PATIA(EL BORDO)","CAUCA","A","NO OFICIAL","SABATINA - DOMINICAL",9,38.33,36.22,40,40.78,42.11,37.33,40.44
172973,"COL SERVICIOS EDUC PARA EL DESARROLLO INTEGL  SEDI  - SEDE PRINCIPAL",76147,"CARTAGO","VALLE","A","NO OFICIAL","NOCHE",10,46.1,38.3,46.4,39.1,40.5,38.1,48.1
124511,"VERNOT SCHOOL",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",14,58.07,57.43,63.36,63.5,62,59.36,63.86
50484,"COLEGIO ANDINO",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",27,54.07,55.48,55.81,54.44,55.37,56.07,55.48
91074,"COL DIST CRISTOBAL COLON (SERVITA)",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","NOCHE",16,47.31,48.63,44.63,45.25,46.88,48.69,43.63
95216,"COLEGIO SAN FRANCISCO JAVIER",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",22,53.36,52.36,54.95,56.77,59.27,53.86,55.05
95737,"INSTITUTO NUESTRA SEÑORA DEL ROSARIO",50001,"VILLAVICENCIO","META","A","NO OFICIAL","SABATINA - DOMINICAL",7,48,45.29,45.57,41.29,41.14,45.86,46
16980,"COLEGIO FRANCISCANO DE FRAY DAMIAN GONZALEZ",76001,"CALI","VALLE","B","NO OFICIAL","COMPLETA U ORDINARIA",167,57.25,59.8,58.37,61.48,57.34,61.19,57.13
100271,"CENT EDUC DIST SIMON BOLIVAR",11001,"BOGOTÁ D.C.","BOGOTA","A","OFICIAL","NOCHE",32,45.63,44.38,43.19,42.91,43.84,44.63,43.13
168690,"CENTRO DE ESTUDIOS MULTITÉCNICO",5001,"MEDELLIN","ANTIOQUIA","A","NO OFICIAL","SABATINA - DOMINICAL",4,48,43.25,43.5,36,41.25,41,45.25
127977,"CORP TECNOLG EMPRESARIAL - SEDE PRINCIPAL",11001,"BOGOTÁ D.C.","BOGOTA","A","NO OFICIAL","NOCHE",87,48.66,47.74,48.06,46.93,45.03,48.52,47.89
140855,"INSTITUTO EDUCACI¿N T¿CNICA E INFORM¿TICA INFODEC LIMITADA - SEDE PRINCIPAL",25214,"COTA","CUNDINAMARCA","A","NO OFICIAL","NOCHE",1,39,22,43,28,42,28,40
87809,"COL INST DE EXCELENCIA HUMANA Y ACAD - IDEHA",41001,"NEIVA","HUILA","A","NO OFICIAL","SABATINA - DOMINICAL",8,43.38,44.25,44.88,43.63,44.88,43.5,44.88
180117,"I.E. CAPACITACIONES INTELCOC - SEDE PRINCIPAL",54518,"PAMPLONA","NORTE SANTANDER","A","NO OFICIAL","SABATINA - DOMINICAL",10,44.6,44,42.8,42.7,45.6,46,43.3
111922,"SANTA BARBARA",76520,"PALMIRA","VALLE","A","OFICIAL","MAÑANA",24,47.08,48.17,46.58,46.17,46.04,48.38,47.38
140509,"INST. EDU. NO FORMAL ANDRES BELLO COLOMBO AMERICANO",76001,"CALI","VALLE","B","NO OFICIAL","NOCHE",4,49,44.75,50.75,49,48.25,44.25,51.25
